X,Y,Z,formation
80.0,80.0,-1.2843604583472639,soil3
90.0,90.0,-1.2718922831728876,soil3
X,Y,Z,formation
0.0,0.0,-0.22726076311650734,soil1
10.0,10.0,-0.34973545145972823,soil1
20.0,20.0,-0.39932146108228994,soil1
30.0,30.0,-0.42499452311162,soil1
40.0,40.0,-0.16746659098657052,soil1
50.0,50.0,-0.38375875140917703,soil1
60.0,60.0,-0.42073144274862107,soil1
70.0,70.0,-0.25518962151700986,soil1
80.0,80.0,-0.15333821177882154,soil1
90.0,90.0,-0.4748197470721579,soil1
0.0,0.0,-0.9156215910447416,soil2
10.0,10.0,-0.5513800908631183,soil2
20.0,20.0,-0.9629402458878693,soil2
30.0,30.0,-0.776008333309073,soil2
40.0,40.0,-0.8786568192649324,soil2
50.0,50.0,-0.6006675761256697,soil2
60.0,60.0,-0.9586920819761144,soil2
70.0,70.0,-0.7842563283002828,soil2
80.0,80.0,-0.5006630683453517,soil2
90.0,90.0,-0.9651210056835166,soil2
0.0,0.0,-1.344456279307384,soil3
10.0,10.0,-1.4692338310549058,soil3
20.0,20.0,-1.1022596487342304,soil3
30.0,30.0,-1.048104271181841,soil3
40.0,40.0,-1.0829607997297557,soil3
50.0,50.0,-1.4743511839204468,soil3
60.0,60.0,-1.316903341723063,soil3
70.0,70.0,-1.359794482001771,soil3
80.0,80.0,-1.2843604583472639,soil3
90.0,90.0,-1.2718922831728876,soil3
